player_id,full_name,first_name,last_name,team_id,position,uniform_number,birthdate,college,height,weight,years_pro,status
251,C.J. Spiller,C.J.,Spiller,KC,RB,None,1987-08-05,Clemson,71,200,8,ACT
496,Eddie Lacy,Eddie,Lacy,SEA,RB,27,1990-06-02,Alabama,71,250,5,ACT
599,Paul Perkins,Paul,Perkins,NYG,RB,28,1994-11-16,UCLA,71,213,2,ACT
3715,Kerwynn Williams,Kerwynn,Williams,ARI,RB,33,1991-06-09,Utah State,68,198,4,ACT
1009,Knile Davis,Knile,Davis,None,None,34,1991-10-05,Arkansas,70,227,4,None
6960,James Conner,James,Conner,PIT,RB,30,1995-05-05,Pittsburgh,73,233,None,ACT
3859,Charcandrick West,Charcandrick,West,KC,RB,35,1991-06-02,Abilene Christian,70,205,4,ACT
3510,Jonas Gray,Jonas,Gray,None,None,34,1990-06-27,Notre Dame,70,225,2,None
7027,Dalvin Cook,Dalvin,Cook,MIN,RB,33,1995-08-10,Florida State,70,210,None,RES
1606,Danny Woodhead,Danny,Woodhead,BAL,RB,39,1985-01-25,Chadron State,68,204,9,RES
2363,Andre Williams,Andre,Williams,SD,RB,44,1992-08-28,Boston College,72,220,3,ACT
4547,Julius Jones,Julius,Jones,None,None,None,1981-08-14,Notre Dame,70,208,7,None
2329,Damien Williams,Damien,Williams,MIA,RB,26,1992-04-03,Oklahoma,71,224,4,ACT
6858,Wayne Gallman,Wayne,Gallman,NYG,RB,22,1994-10-01,Clemson,72,210,None,ACT
125,Ahmad Bradshaw,Ahmad,Bradshaw,None,None,44,1986-03-19,Marshall,70,217,9,None
5762,Branden Oliver,Branden,Oliver,SD,RB,32,1991-05-07,Buffalo,68,208,4,ACT
879,Maurice Jones-Drew,Maurice,Jones-Drew,None,None,21,1985-03-23,UCLA,67,210,9,None
5566,Senorise Perry,Senorise,Perry,MIA,RB,34,1991-09-19,Louisville,72,210,3,ACT
7160,Matt Breida,Matt,Breida,SF,RB,22,1995-02-28,Georgia Southern,70,190,None,ACT
5415,Frank Gore,Frank,Gore,IND,RB,23,1983-05-14,Miami (Fla.),69,212,13,ACT
5558,Matt Asiata,Matt,Asiata,None,None,44,1987-07-24,Utah,72,219,5,None
3673,Derrick Henry,Derrick,Henry,TEN,RB,22,1994-01-04,Alabama,75,247,2,ACT
3173,Isaac Redman,Isaac,Redman,None,None,None,1984-11-10,Bowie State,72,230,4,None
5253,Jamaal Charles,Jamaal,Charles,DEN,RB,28,1986-12-27,Texas,71,199,10,ACT
988,Anthony Dixon,Anthony,Dixon,None,None,26,1987-09-24,Mississippi State,73,233,6,None
5666,Alex Green,Alex,Green,None,None,25,1988-06-23,Hawaii,74,220,4,None
4911,Marcel Reece,Marcel,Reece,None,None,45,1985-06-23,Washington,73,250,7,None
4543,Ricky Williams,Ricky,Williams,None,None,None,1977-05-21,Texas,70,230,12,None
5325,Joe Banyard,Joe,Banyard,BUF,RB,22,1988-11-12,Texas-El Paso,70,221,5,ACT
5512,Ryan Torain,Ryan,Torain,None,None,None,1986-08-10,Arizona State,72,220,5,None
1635,Rob Kelley,Rob,Kelley,WAS,RB,20,1992-10-03,Tulane,72,233,2,ACT
2252,Chester Taylor,Chester,Taylor,None,None,None,1979-09-22,Toledo,71,213,10,None
1165,Corey Grant,Corey,Grant,JAC,RB,30,1991-12-19,Auburn,71,203,3,ACT
7068,Alvin Kamara,Alvin,Kamara,NO,RB,41,1995-07-25,Tennessee,70,215,None,ACT
1234,Joe McKnight,Joe,McKnight,None,None,22,1988-04-16,USC,71,205,3,None
6951,Trey Edmunds,Trey,Edmunds,NO,RB,33,1994-12-30,Maryland,73,223,None,ACT
5889,Mike James,Mike,James,DET,RB,39,1991-04-13,Miami (Fla.),70,223,4,RES
3829,Todd Gurley,Todd,Gurley,LA,RB,30,1994-08-03,Georgia,73,227,3,ACT
2634,Joseph Randle,Joseph,Randle,None,None,21,1991-12-29,Oklahoma State,72,210,3,None
5109,Devontae Booker,Devontae,Booker,DEN,RB,23,1992-05-27,Utah,71,219,2,ACT
3982,Pierre Thomas,Pierre,Thomas,None,None,39,1984-12-18,Illinois,71,215,9,None
6362,Brandon Bolden,Brandon,Bolden,NE,RB,38,1990-01-26,Mississippi,71,220,6,ACT
