player_id,season_year,rushing_tds,receiving_tds,rushing_yds,receiving_yds,rushing_att,receiving_rec,fumbles_lost
251,2010,0,1,283,157,74,24,3
251,2011,4,2,561,269,107,39,0
251,2012,6,2,1244,459,207,43,3
251,2013,2,0,927,197,201,34,1
251,2014,0,1,299,125,77,19,1
251,2015,0,2,111,247,37,35,0
251,2016,0,1,18,50,6,6,0
251,2017,0,0,0,0,2,0,0
496,2013,11,0,1178,257,284,35,1
496,2014,9,4,1139,427,246,42,2
496,2015,3,2,758,188,187,20,2
496,2016,0,0,360,28,71,4,0
496,2017,0,0,174,47,65,6,0
599,2016,0,0,456,162,112,15,0
599,2017,0,0,61,35,32,7,0
3715,2013,0,0,0,0,0,0,0
3715,2014,0,0,246,11,53,2,0
3715,2015,1,0,142,16,27,2,1
3715,2016,2,0,157,6,18,1,0
3715,2017,1,0,60,49,27,5,0
1009,2013,4,0,242,75,70,11,1
1009,2014,6,1,463,147,134,16,2
1009,2015,1,0,72,24,28,2,0
1009,2016,0,0,28,25,18,5,0
6960,2017,0,0,101,0,19,0,0
3859,2015,4,1,634,214,160,20,1
3859,2016,1,2,293,188,88,28,0
3859,2017,1,2,26,113,6,20,0
3510,2014,5,0,406,7,89,1,0
3510,2015,0,0,176,76,45,7,0
7027,2017,2,0,354,90,74,11,1
1606,2009,0,0,64,87,15,8,0
1606,2010,5,1,547,379,97,34,1
1606,2011,1,0,351,157,77,18,0
1606,2012,4,3,291,446,75,40,0
1606,2013,2,6,425,605,106,76,2
1606,2014,0,0,39,34,15,5,0
1606,2015,3,6,335,756,97,81,0
1606,2016,0,1,116,35,19,6,0
1606,2017,0,0,26,56,5,7,0
2363,2014,7,0,720,130,216,18,0
2363,2015,1,0,257,7,88,1,0
2363,2016,0,0,87,0,18,0,0
4547,2009,2,2,663,232,177,35,0
4547,2010,0,0,223,59,60,17,1
2329,2014,0,1,122,187,36,21,0
2329,2015,0,1,59,142,16,21,1
2329,2016,3,3,115,249,35,23,1
2329,2017,0,1,103,131,36,19,0
6858,2017,0,1,241,58,57,13,1
125,2009,7,0,778,207,163,21,2
125,2010,8,0,1235,314,276,47,6
125,2011,9,2,659,267,171,34,1
125,2012,6,0,1015,245,221,23,3
125,2013,2,0,186,42,41,7,0
125,2014,2,6,425,300,90,38,2
125,2015,0,3,85,64,31,10,0
5762,2014,3,1,582,271,160,36,0
5762,2015,0,0,108,112,31,13,0
5762,2017,0,0,61,20,20,5,0
879,2009,15,1,1391,374,312,53,1
879,2010,5,2,1323,317,300,34,2
879,2011,8,3,1606,374,343,43,1
879,2012,1,1,414,86,86,14,0
879,2013,5,0,803,314,235,43,1
879,2014,0,0,96,71,43,11,0
5566,2014,0,0,0,-1,0,1,0
5566,2017,0,0,0,0,0,0,0
7160,2017,1,1,231,136,53,18,0
5415,2009,10,3,1120,406,229,52,2
5415,2010,3,2,853,452,203,46,2
5415,2011,8,0,1211,114,282,17,2
5415,2012,8,1,1212,234,259,28,1
5415,2013,9,0,1128,141,276,16,3
5415,2014,4,1,1103,111,255,11,2
5415,2015,6,1,967,267,260,34,3
5415,2016,4,4,1026,277,263,38,1
5415,2017,3,0,571,169,161,20,0
5558,2012,0,0,9,2,3,1,0
5558,2013,3,0,166,13,44,5,1
5558,2014,9,1,570,312,164,44,1
5558,2015,0,0,112,132,29,19,0
5558,2016,6,0,402,263,121,32,1
3673,2016,5,0,490,137,110,13,0
3673,2017,3,0,488,55,107,7,0
3173,2010,0,2,247,72,53,9,1
3173,2011,3,0,479,69,110,17,2
3173,2012,2,0,410,244,110,19,3
3173,2013,0,0,13,14,11,4,1
5253,2009,7,1,1120,297,190,40,3
5253,2010,5,3,1467,468,230,45,2
5253,2011,0,1,83,9,12,5,1
5253,2012,5,1,1513,236,284,37,3
5253,2013,12,7,1288,693,259,70,2
5253,2014,9,5,1039,291,205,40,2
5253,2015,4,1,364,177,71,21,2
5253,2016,1,0,40,14,12,2,0
5253,2017,1,0,317,78,73,15,3
988,2010,2,0,237,11,70,5,0
988,2011,2,0,87,6,29,1,0
988,2012,2,0,78,0,21,0,0
988,2013,2,0,56,30,28,3,0
988,2014,2,0,432,49,105,8,0
988,2015,1,0,44,44,21,6,0
5666,2011,0,0,11,6,3,1,0
5666,2012,0,0,456,133,134,19,0
5666,2013,0,0,35,8,11,2,0
4911,2009,0,0,0,20,0,2,0
4911,2010,1,3,122,333,30,25,1
4911,2011,0,2,112,299,17,27,1
4911,2012,0,1,271,496,59,52,0
4911,2013,2,2,218,331,46,32,0
4911,2014,0,1,85,265,21,37,1
4911,2015,0,3,36,269,10,30,0
4911,2016,0,0,0,72,2,5,0
4543,2009,11,2,1121,264,241,35,2
4543,2010,2,1,673,141,159,19,2
4543,2011,2,0,444,83,108,13,2
5325,2013,0,0,0,11,0,1,0
5325,2014,0,0,88,62,21,9,0
5325,2015,0,0,0,0,0,0,0
5325,2016,0,0,7,0,2,0,0
5512,2010,4,2,742,125,164,18,1
5512,2011,1,0,200,23,60,6,0
5512,2012,0,0,0,0,0,0,0
1635,2016,6,1,704,82,168,12,0
1635,2017,3,0,194,18,62,4,0
2252,2009,1,1,332,389,93,44,0
2252,2010,3,0,267,139,112,20,0
2252,2011,1,0,77,91,20,14,0
1165,2015,0,0,2,13,6,2,1
1165,2016,1,1,164,35,32,4,0
1165,2017,1,0,179,41,20,3,0
7068,2017,5,3,504,474,69,49,1
1234,2010,0,0,189,20,39,3,0
1234,2011,0,0,134,139,43,13,2
1234,2012,0,0,179,18,30,1,1
1234,2014,0,2,3,64,1,6,0
6951,2017,1,0,48,0,9,0,0
5889,2013,0,0,295,43,60,10,0
5889,2014,0,0,37,-5,19,1,0
5889,2016,0,0,19,22,4,4,0
3829,2015,10,0,1108,188,229,21,1
3829,2016,6,0,885,327,278,43,1
3829,2017,7,3,828,460,189,39,2
2634,2013,2,0,164,61,54,8,0
2634,2014,3,0,343,23,51,4,2
2634,2015,4,0,313,87,76,10,0
5109,2016,4,1,612,265,174,31,3
5109,2017,1,0,118,150,32,15,0
3982,2009,6,2,793,302,147,39,1
3982,2010,2,0,269,201,83,29,0
3982,2011,5,1,562,425,110,50,1
3982,2012,1,1,473,354,105,39,0
3982,2013,2,3,549,513,147,77,0
3982,2014,2,1,222,378,45,45,0
3982,2015,0,0,64,84,15,9,0
6362,2012,2,0,274,11,56,2,0
6362,2013,3,0,271,152,55,21,0
6362,2014,1,0,89,8,28,2,0
6362,2015,0,2,207,180,63,19,0
6362,2016,0,0,4,15,1,2,0
6362,2017,0,0,1,0,2,0,0
4240,2010,0,0,158,16,41,3,0
4240,2011,1,1,402,148,96,16,2
4240,2012,1,1,158,61,42,7,1
746,2009,8,0,648,98,147,14,1
746,2010,5,0,734,242,200,33,2
746,2011,1,0,136,0,42,0,1
746,2012,0,0,220,371,46,49,0
746,2013,1,0,157,60,45,8,0
746,2014,0,0,63,44,20,5,0
7091,2017,3,0,370,16,70,8,0
147,2013,0,0,38,0,7,0,0
147,2014,8,2,849,324,179,34,0
147,2015,5,0,720,183,152,25,2
147,2016,4,1,437,128,110,16,0
147,2017,1,1,629,99,151,14,0
3245,2013,5,1,566,46,150,15,1
3245,2014,1,1,406,315,94,33,3
3245,2015,0,0,18,16,5,3,1
3245,2016,0,0,63,153,17,20,1
3245,2017,0,0,2,18,1,5,0
4278,2009,4,3,816,219,209,29,0
4278,2010,2,1,437,355,125,46,1
4278,2011,1,0,368,86,88,14,1
3419,2016,1,0,312,55,77,6,1
3419,2017,1,0,168,79,43,10,0
4856,2015,0,0,0,0,0,0,1
4856,2016,0,0,6,0,1,0,0
4856,2017,0,0,30,0,6,0,1
4255,2012,3,0,414,485,82,52,2
4255,2013,8,0,650,547,166,53,3
4255,2014,7,1,860,322,223,34,1
4255,2015,4,0,311,286,90,22,0
4255,2016,0,0,6,-2,3,1,0
3304,2014,2,0,572,133,153,18,2
3304,2015,1,1,193,139,47,14,1
4102,2013,1,0,261,59,47,6,1
4102,2014,3,1,244,352,66,45,2
4102,2015,0,0,140,250,37,26,0
4102,2016,0,0,101,91,21,16,0
4102,2017,0,1,29,107,9,10,1
3355,2012,1,0,532,47,108,7,0
3355,2013,2,0,436,104,152,20,0
3355,2014,2,0,363,13,93,2,1
3355,2015,0,0,11,7,6,3,0
5372,2010,4,2,563,487,172,58,1
5372,2011,2,1,390,287,84,27,0
4743,2012,0,0,0,0,0,0,0
4743,2013,3,0,98,61,11,4,0
4743,2014,4,0,172,16,46,2,0
4743,2015,1,1,334,109,99,16,0
405,2009,9,0,757,99,194,14,4
405,2010,0,0,74,50,36,4,0
292,2015,8,4,581,457,125,36,1
292,2016,16,4,1239,879,293,80,3
292,2017,0,0,23,68,11,6,1
5288,2009,10,0,871,35,178,5,2
5288,2010,12,0,1371,85,334,12,2
5288,2011,11,0,1340,168,301,17,2
5288,2012,10,1,800,128,222,19,1
805,2014,8,0,607,87,148,9,2
805,2015,4,1,706,182,185,19,0
805,2016,7,0,944,319,197,40,2
805,2017,2,0,536,177,134,19,1
3650,2016,1,0,125,84,31,11,1
3650,2017,1,0,581,30,109,5,2
1809,2012,1,0,250,45,51,6,0
1809,2013,2,0,709,170,177,26,1
1809,2014,8,1,1099,278,216,38,2
1809,2015,8,2,872,397,194,47,1
1809,2016,5,1,1073,188,268,31,1
1809,2017,3,2,594,249,157,23,0
4664,2009,4,0,637,308,155,40,1
4664,2010,7,2,1080,592,207,78,1
4664,2011,17,3,1309,315,273,48,1
4664,2012,2,3,840,373,200,54,3
4664,2013,9,2,1607,540,314,52,1
4664,2014,5,0,1319,155,314,30,3
4664,2015,3,2,895,292,203,32,2
4664,2016,13,1,1267,356,234,51,0
4664,2017,3,0,644,283,179,45,1
1567,2012,11,1,950,367,267,51,0
1567,2013,3,1,563,316,188,35,1
1567,2014,3,0,519,229,160,27,1
3091,2015,1,0,187,90,49,7,0
3091,2016,8,0,1272,151,261,27,1
3091,2017,1,0,568,74,151,15,1
7045,2017,2,1,167,114,52,9,0
1705,2016,0,0,24,2,7,1,0
1705,2017,0,0,4,18,1,3,0
4158,2014,1,1,248,225,65,30,1
4158,2015,11,3,1061,578,264,73,2
4158,2016,11,2,1079,462,227,54,1
4158,2017,5,0,515,137,116,19,0
254,2010,7,0,675,145,157,22,3
254,2011,6,0,1091,455,222,50,2
254,2012,1,0,707,252,184,39,2
254,2013,6,1,1255,189,285,26,1
254,2014,3,0,328,69,75,9,0
254,2015,6,1,539,146,108,20,3
254,2016,8,1,661,115,155,13,2
1816,2012,0,0,475,163,98,24,2
1816,2013,0,0,215,121,69,14,0
1816,2016,0,0,7,0,2,0,0
37,2009,1,0,642,240,120,31,2
37,2010,2,2,147,240,59,28,1
421,2013,1,0,25,26,9,4,0
421,2014,0,4,51,316,20,34,0
421,2015,0,3,133,693,43,79,1
421,2016,1,5,357,371,92,53,0
421,2017,0,2,126,288,36,33,0
7036,2017,2,3,268,468,76,59,1
1343,2011,5,0,474,46,122,11,1
1343,2012,5,0,602,29,156,6,0
1343,2013,1,0,386,68,78,7,0
1343,2014,9,0,964,145,226,29,1
1343,2015,6,0,768,397,164,49,1
1343,2016,6,4,1044,319,205,46,2
1343,2017,7,0,703,197,155,33,3
4966,2009,0,0,321,67,74,5,0
4966,2010,1,0,299,60,61,11,2
4966,2011,3,0,380,38,112,13,0
4966,2012,0,0,35,0,8,0,0
4966,2013,0,0,14,10,4,2,0
128,2016,1,2,492,194,84,29,0
128,2017,1,1,210,201,47,19,1
1663,2009,0,1,15,83,6,10,1
1663,2010,1,0,113,111,23,16,0
1663,2011,0,2,167,234,43,13,0
1663,2012,4,0,357,106,111,17,0
1663,2013,0,0,19,11,6,2,0
5634,2009,3,4,343,497,93,45,1
5634,2010,0,2,270,520,51,59,3
5634,2011,2,7,603,710,87,86,0
5634,2012,1,7,244,667,48,75,0
5634,2013,2,2,220,604,53,71,3
5634,2014,6,0,329,387,57,40,1
5634,2015,3,1,317,388,83,55,0
5634,2016,2,2,438,427,94,52,0
5634,2017,0,0,61,73,15,7,1
2144,2011,2,1,640,379,151,49,2
2144,2012,0,0,2,45,2,7,0
2144,2013,4,0,274,251,62,31,0
2144,2014,1,2,210,477,39,42,1
2144,2015,0,1,39,75,17,9,0
4938,2014,4,1,673,64,171,11,1
4938,2015,0,0,229,21,61,4,2
4938,2016,5,1,774,236,193,34,0
4938,2017,2,0,138,23,39,2,1
3313,2015,0,2,14,136,3,15,0
3313,2016,3,0,457,348,77,44,1
3313,2017,3,1,273,173,71,23,0
5066,2009,14,0,1402,58,332,10,0
5066,2010,6,0,896,122,245,14,1
5066,2011,0,0,478,43,153,5,0
2173,2013,0,0,7,7,6,2,0
2173,2015,0,0,124,22,28,9,1
2173,2016,2,0,129,42,27,5,0
2173,2017,0,0,34,20,12,3,0
2745,2015,1,0,392,14,87,2,3
2745,2016,8,3,520,421,118,31,0
2745,2017,4,2,498,203,102,17,0
114,2012,0,0,354,181,80,19,0
114,2013,0,0,264,60,77,8,1
114,2014,0,2,306,186,73,16,1
114,2015,1,0,199,23,50,7,0
114,2016,7,1,164,179,47,26,0
114,2017,1,0,53,56,23,9,0
3332,2015,1,2,516,353,138,45,2
3332,2016,0,0,34,15,9,3,0
3332,2017,2,2,392,191,111,40,0
3396,2011,1,0,57,0,15,0,0
3396,2012,3,1,251,149,62,8,1
3396,2013,1,3,208,427,44,47,0
3396,2014,2,3,395,447,97,53,0
3396,2015,0,4,260,495,61,59,0
3396,2016,1,0,158,94,33,11,2
3396,2017,0,0,102,186,28,30,0
5908,2009,5,0,654,12,172,4,2
5908,2010,0,0,99,67,47,7,0
5608,2014,1,0,23,48,9,5,0
5608,2015,1,0,153,31,37,3,0
5608,2016,2,0,111,12,30,2,0
5608,2017,1,0,445,77,92,13,0
395,2010,0,1,71,209,18,21,1
395,2011,1,1,510,334,113,47,3
395,2012,0,1,70,452,12,52,2
395,2013,0,2,5,512,8,53,0
395,2014,0,1,131,197,40,26,1
395,2015,1,1,247,260,55,31,2
395,2016,0,0,2,36,3,7,0
6778,2017,0,0,1,6,1,1,0
2807,2009,3,0,685,119,116,19,2
2807,2010,1,1,800,450,185,48,1
2807,2011,1,0,577,221,128,33,2
2807,2012,3,2,402,266,111,26,2
2807,2013,0,0,184,63,48,9,1
1319,2012,0,0,8,0,3,1,0
1319,2013,2,1,256,116,75,14,0
1319,2014,1,1,186,198,32,25,0
1319,2015,0,0,22,0,4,0,0
1319,2016,0,0,59,0,9,0,0
1319,2017,0,0,0,0,0,0,0
5809,2012,0,0,75,33,21,6,0
5809,2013,0,0,150,59,30,7,1
5809,2014,0,0,99,217,29,18,0
5809,2015,0,0,67,215,5,21,0
5809,2016,1,0,31,122,9,16,0
5809,2017,0,0,31,0,5,0,0
5715,2010,0,0,28,0,9,0,0
5715,2011,0,0,123,6,16,1,0
5715,2012,2,0,623,106,156,18,2
5715,2013,0,0,197,64,49,8,0
5715,2014,1,0,51,8,16,2,0
